Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,47,1.6572637517630464
Table 2,8,53,1.8688293370944993
Table 3,8,47,1.6572637517630464
Table 4,8,26,0.9167842031029618
Table 5,8,37,1.304654442877292
Table 6,8,39,1.3751763046544427
Table 7,8,53,1.8688293370944993
Table 8,8,34,1.1988716502115657
Table 9,8,29,1.0225669957686883
Table 10,8,30,1.0578279266572637
Table 11,8,39,1.3751763046544427
Table 12,8,36,1.2693935119887165
Table 13,8,40,1.4104372355430184
Table 14,8,21,0.7404795486600846
Table 15,8,46,1.622002820874471
Table 16,8,41,1.4456981664315938
Table 17,8,34,1.1988716502115657
Table 18,8,34,1.1988716502115657
Table 19,8,53,1.8688293370944993
Table 20,8,38,1.3399153737658673
Table 21,8,45,1.5867418899858956
Table 22,8,50,1.7630465444287728
Table 23,8,30,1.0578279266572637
Table 24,8,34,1.1988716502115657
Table 25,8,35,1.2341325811001411
Table 26,8,44,1.5514809590973202
Table 27,8,38,1.3399153737658673
Table 28,8,45,1.5867418899858956
Table 29,8,42,1.4809590973201692
Table 30,8,39,1.3751763046544427
Table 31,8,43,1.5162200282087448
Table 32,8,52,1.8335684062059237
Table 33,8,20,0.7052186177715092
Table 34,8,13,0.4583921015514809
Table 35,8,18,0.6346967559943583
Table 36,8,38,1.3399153737658673
Table 37,8,33,1.16361071932299
Table 38,8,40,1.4104372355430184
Table 39,8,42,1.4809590973201692
Table 40,8,57,2.0098730606488013
Table 41,8,16,0.5641748942172073
Table 42,8,51,1.7983074753173485
Table 43,8,49,1.7277856135401977
Table 44,8,44,1.5514809590973202
Table 45,8,52,1.8335684062059237
Table 46,8,37,1.304654442877292
Table 47,8,49,1.7277856135401977
Table 48,8,26,0.9167842031029618
Table 49,8,44,1.5514809590973202
Table 50,8,46,1.622002820874471
Table 51,8,36,1.2693935119887165
Table 52,8,38,1.3399153737658673
Table 53,8,28,0.9873060648801129
Table 54,8,40,1.4104372355430184
Table 55,8,23,0.8110014104372355
Table 56,8,37,1.304654442877292
Table 57,8,33,1.16361071932299
Table 58,8,38,1.3399153737658673
Table 59,8,51,1.7983074753173485
Table 60,8,56,1.9746121297602257
Table 61,8,49,1.7277856135401977
Table 62,8,30,1.0578279266572637
Table 63,8,40,1.4104372355430184
Table 64,8,39,1.3751763046544427
Table 65,8,38,1.3399153737658673
Table 66,8,13,0.4583921015514809
Table 67,8,36,1.2693935119887165
Table 68,8,35,1.2341325811001411
Table 69,8,27,0.9520451339915375
Table 70,8,66,2.32722143864598
Table 71,8,29,1.0225669957686883
Table 72,8,29,1.0225669957686883
Table 73,8,35,1.2341325811001411
Table 74,8,9,0.31734837799717913
Table 75,8,32,1.1283497884344147
Total,600,2836,100.0
