Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,28,0.8531383302864107
Table 2,8,41,1.2492382693479587
Table 3,8,31,0.9445460085313834
Table 4,8,43,1.3101767215112736
Table 5,8,77,2.3461304082876295
Table 6,8,54,1.6453382084095063
Table 7,8,23,0.700792199878123
Table 8,8,30,0.9140767824497258
Table 9,8,46,1.401584399756246
Table 10,8,43,1.3101767215112736
Table 11,8,35,1.0664229128580134
Table 12,8,57,1.736745886654479
Table 13,8,34,1.035953686776356
Table 14,8,46,1.401584399756246
Table 15,8,42,1.2797074954296161
Table 16,8,36,1.0968921389396709
Table 17,8,48,1.4625228519195612
Table 18,8,49,1.4929920780012187
Table 19,8,51,1.5539305301645339
Table 20,8,10,0.30469226081657524
Table 21,8,22,0.6703229737964655
Table 22,8,50,1.5234613040828764
Table 23,8,53,1.6148689823278488
Table 24,8,32,0.9750152346130408
Table 25,8,87,2.6508226691042047
Table 26,8,29,0.8836075563680682
Table 27,8,46,1.401584399756246
Table 28,8,35,1.0664229128580134
Table 29,8,54,1.6453382084095063
Table 30,8,38,1.157830591102986
Table 31,8,53,1.6148689823278488
Table 32,8,42,1.2797074954296161
Table 33,8,45,1.3711151736745886
Table 34,8,81,2.46800731261426
Table 35,8,60,1.8281535648994516
Table 36,8,99,3.0164533820840953
Table 37,8,9,0.2742230347349177
Table 38,8,62,1.8890920170627667
Table 39,8,26,0.7921998781230957
Table 40,8,57,1.736745886654479
Table 41,8,26,0.7921998781230957
Table 42,8,48,1.4625228519195612
Table 43,8,52,1.5843997562461913
Table 44,8,44,1.340645947592931
Table 45,8,32,0.9750152346130408
Table 46,8,81,2.46800731261426
Table 47,8,23,0.700792199878123
Table 48,8,34,1.035953686776356
Table 49,8,35,1.0664229128580134
Table 50,8,19,0.578915295551493
Table 51,8,43,1.3101767215112736
Table 52,8,36,1.0968921389396709
Table 53,8,34,1.035953686776356
Table 54,8,104,3.1687995124923827
Table 55,8,38,1.157830591102986
Table 56,8,43,1.3101767215112736
Table 57,8,32,0.9750152346130408
Table 58,8,14,0.42656916514320536
Table 59,8,30,0.9140767824497258
Table 60,8,22,0.6703229737964655
Table 61,8,34,1.035953686776356
Table 62,8,35,1.0664229128580134
Table 63,8,17,0.517976843388178
Table 64,8,40,1.218769043266301
Table 65,8,115,3.503960999390616
Table 66,8,83,2.528945764777575
Table 67,8,45,1.3711151736745886
Table 68,8,25,0.7617306520414382
Table 69,8,8,0.2437538086532602
Table 70,8,40,1.218769043266301
Table 71,8,51,1.5539305301645339
Table 72,8,59,1.797684338817794
Table 73,8,54,1.6453382084095063
Table 74,8,47,1.4320536258379037
Table 75,8,35,1.0664229128580134
Total,600,3282,100.0
