Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,14,1.06544901065449
Table 2,8,31,2.359208523592085
Table 3,8,37,2.8158295281582952
Table 4,8,35,2.663622526636225
Table 5,8,38,2.89193302891933
Table 6,8,50,3.8051750380517504
Table 7,8,25,1.9025875190258752
Table 8,8,37,2.8158295281582952
Table 9,8,40,3.0441400304414
Table 10,8,35,2.663622526636225
Table 11,8,36,2.73972602739726
Table 12,8,40,3.0441400304414
Table 13,8,32,2.43531202435312
Table 14,8,33,2.5114155251141552
Table 15,8,34,2.5875190258751903
Table 16,8,47,3.576864535768645
Table 17,8,34,2.5875190258751903
Table 18,8,24,1.82648401826484
Table 19,8,26,1.97869101978691
Table 20,8,26,1.97869101978691
Table 21,8,45,3.4246575342465753
Table 22,8,38,2.89193302891933
Table 23,8,19,1.445966514459665
Table 24,8,38,2.89193302891933
Table 25,8,36,2.73972602739726
Table 26,8,18,1.36986301369863
Table 27,8,14,1.06544901065449
Table 28,6,37,2.8158295281582952
Table 29,8,57,4.337899543378995
Table 30,8,26,1.97869101978691
Table 31,8,39,2.968036529680365
Table 32,8,35,2.663622526636225
Table 33,8,34,2.5875190258751903
Table 34,8,80,6.0882800608828
Table 35,8,41,3.1202435312024352
Table 36,8,25,1.9025875190258752
Table 37,8,39,2.968036529680365
Table 38,6,19,1.445966514459665
Total,300,1314,100.0
