Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,29,3.805774278215223
Table 2,8,34,4.4619422572178475
Table 3,8,32,4.199475065616798
Table 4,8,24,3.149606299212598
Table 5,8,45,5.905511811023622
Table 6,8,32,4.199475065616798
Table 7,8,34,4.4619422572178475
Table 8,8,5,0.6561679790026247
Table 9,8,31,4.0682414698162725
Table 10,8,36,4.724409448818897
Table 11,8,20,2.6246719160104988
Table 12,8,22,2.8871391076115485
Table 13,8,36,4.724409448818897
Table 14,8,27,3.543307086614173
Table 15,8,33,4.330708661417323
Table 16,8,17,2.2309711286089238
Table 17,8,36,4.724409448818897
Table 18,8,30,3.937007874015748
Table 19,8,35,4.593175853018373
Table 20,8,30,3.937007874015748
Table 21,8,34,4.4619422572178475
Table 22,8,26,3.4120734908136483
Table 23,8,32,4.199475065616798
Table 24,8,45,5.905511811023622
Table 25,8,37,4.8556430446194225
Total,200,762,100.0
