Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,16,2.3703703703703702
Table 2,8,31,4.592592592592593
Table 3,8,22,3.259259259259259
Table 4,8,20,2.9629629629629632
Table 5,8,40,5.9259259259259265
Table 6,8,34,5.037037037037037
Table 7,8,34,5.037037037037037
Table 8,8,3,0.4444444444444444
Table 9,8,31,4.592592592592593
Table 10,8,35,5.185185185185185
Table 11,8,18,2.666666666666667
Table 12,8,22,3.259259259259259
Table 13,8,36,5.333333333333334
Table 14,8,26,3.851851851851852
Table 15,8,25,3.7037037037037033
Table 16,8,18,2.666666666666667
Table 17,8,33,4.888888888888889
Table 18,8,29,4.296296296296296
Table 19,8,30,4.444444444444445
Table 20,8,18,2.666666666666667
Table 21,8,30,4.444444444444445
Table 22,8,23,3.4074074074074074
Table 23,8,29,4.296296296296296
Table 24,8,35,5.185185185185185
Table 25,8,37,5.481481481481482
Total,200,675,100.0
