Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,16,2.2792022792022792
Table 2,8,34,4.843304843304843
Table 3,8,21,2.9914529914529915
Table 4,8,20,2.849002849002849
Table 5,8,40,5.698005698005698
Table 6,8,34,4.843304843304843
Table 7,8,34,4.843304843304843
Table 8,8,5,0.7122507122507122
Table 9,8,31,4.415954415954416
Table 10,8,35,4.985754985754986
Table 11,8,27,3.8461538461538463
Table 12,8,24,3.418803418803419
Table 13,8,36,5.128205128205128
Table 14,8,28,3.9886039886039883
Table 15,8,25,3.561253561253561
Table 16,8,22,3.133903133903134
Table 17,8,32,4.5584045584045585
Table 18,8,29,4.131054131054131
Table 19,8,33,4.700854700854701
Table 20,8,18,2.564102564102564
Table 21,8,28,3.9886039886039883
Table 22,8,25,3.561253561253561
Table 23,8,33,4.700854700854701
Table 24,8,35,4.985754985754986
Table 25,8,37,5.270655270655271
Total,200,702,100.0
