Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,28,4.034582132564841
Table 2,8,30,4.322766570605188
Table 3,8,35,5.043227665706052
Table 4,8,33,4.755043227665706
Table 5,8,36,5.187319884726225
Table 6,8,46,6.628242074927954
Table 7,8,29,4.178674351585014
Table 8,8,29,4.178674351585014
Table 9,8,13,1.8731988472622478
Table 10,8,33,4.755043227665706
Table 11,8,32,4.610951008645533
Table 12,8,2,0.2881844380403458
Table 13,8,41,5.9077809798270895
Table 14,8,5,0.7204610951008645
Table 15,8,30,4.322766570605188
Table 16,8,34,4.899135446685879
Table 17,8,42,6.051873198847262
Table 18,8,24,3.45821325648415
Table 19,8,29,4.178674351585014
Table 20,8,35,5.043227665706052
Table 21,8,30,4.322766570605188
Table 22,8,21,3.025936599423631
Table 23,8,15,2.161383285302594
Table 24,8,25,3.602305475504323
Table 25,8,17,2.4495677233429394
Total,200,694,100.0
