Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,16,2.363367799113737
Table 2,8,31,4.579025110782865
Table 3,8,22,3.2496307237813884
Table 4,8,20,2.954209748892171
Table 5,8,40,5.908419497784342
Table 6,8,34,5.022156573116692
Table 7,8,34,5.022156573116692
Table 8,8,2,0.29542097488921715
Table 9,8,31,4.579025110782865
Table 10,8,35,5.1698670605613
Table 11,8,18,2.658788774002954
Table 12,8,22,3.2496307237813884
Table 13,8,36,5.317577548005908
Table 14,8,26,3.8404726735598227
Table 15,8,25,3.6927621861152145
Table 16,8,21,3.10192023633678
Table 17,8,33,4.874446085672083
Table 18,8,29,4.283604135893649
Table 19,8,30,4.431314623338257
Table 20,8,18,2.658788774002954
Table 21,8,30,4.431314623338257
Table 22,8,23,3.3973412112259975
Table 23,8,29,4.283604135893649
Table 24,8,35,5.1698670605613
Table 25,8,37,5.465288035450517
Total,200,677,100.0
