Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,17,1.3016845329249618
Table 2,8,30,2.2970903522205206
Table 3,8,35,2.679938744257274
Table 4,8,37,2.833078101071975
Table 5,8,33,2.5267993874425727
Table 6,8,47,3.5987748851454824
Table 7,8,26,1.9908116385911179
Table 8,8,37,2.833078101071975
Table 9,8,40,3.0627871362940278
Table 10,8,35,2.679938744257274
Table 11,8,36,2.756508422664625
Table 12,8,40,3.0627871362940278
Table 13,8,31,2.3736600306278715
Table 14,8,36,2.756508422664625
Table 15,8,37,2.833078101071975
Table 16,8,47,3.5987748851454824
Table 17,8,42,3.215926493108729
Table 18,8,19,1.454823889739663
Table 19,8,27,2.0673813169984685
Table 20,8,31,2.3736600306278715
Table 21,8,41,3.139356814701378
Table 22,8,36,2.756508422664625
Table 23,8,19,1.454823889739663
Table 24,8,38,2.909647779479326
Table 25,8,29,2.22052067381317
Table 26,8,19,1.454823889739663
Table 27,7,24,1.8376722817764166
Table 28,7,33,2.5267993874425727
Table 29,8,52,3.9816232771822357
Table 30,8,32,2.4502297090352223
Table 31,8,25,1.914241960183767
Table 32,7,28,2.1439509954058193
Table 33,8,37,2.833078101071975
Table 34,7,78,5.972434915773354
Table 35,8,40,3.0627871362940278
Table 36,8,25,1.914241960183767
Table 37,8,39,2.986217457886677
Table 38,8,28,2.1439509954058193
Total,300,1306,100.0
