Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,14,1.1447260834014716
Table 2,8,30,2.4529844644317254
Table 3,8,31,2.5347506132461164
Table 4,8,35,2.8618152085036797
Table 5,8,31,2.5347506132461164
Table 6,8,47,3.8430089942763694
Table 7,8,25,2.044153720359771
Table 8,8,34,2.7800490596892886
Table 9,8,40,3.2706459525756335
Table 10,8,35,2.8618152085036797
Table 11,8,36,2.9435813573180702
Table 12,8,40,3.2706459525756335
Table 13,8,32,2.616516762060507
Table 14,8,33,2.698282910874898
Table 15,8,34,2.7800490596892886
Table 16,8,51,4.170073589533932
Table 17,8,34,2.7800490596892886
Table 18,8,19,1.553556827473426
Table 19,8,15,1.2264922322158627
Table 20,8,31,2.5347506132461164
Table 21,8,42,3.434178250204415
Table 22,8,36,2.9435813573180702
Table 23,5,14,1.1447260834014716
Table 24,8,28,2.2894521668029433
Table 25,8,31,2.5347506132461164
Table 26,8,9,0.7358953393295176
Table 27,7,9,0.7358953393295176
Table 28,8,33,2.698282910874898
Table 29,8,52,4.251839738348324
Table 30,8,26,2.125919869174162
Table 31,8,17,1.3900245298446443
Table 32,8,32,2.616516762060507
Table 33,8,35,2.8618152085036797
Table 34,8,80,6.541291905151267
Table 35,8,40,3.2706459525756335
Table 36,8,25,2.044153720359771
Table 37,8,39,3.188879803761243
Table 38,8,28,2.2894521668029433
Total,300,1223,100.0
