Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,28,0.8373205741626795
Table 2,8,41,1.2260765550239234
Table 3,8,31,0.9270334928229664
Table 4,8,43,1.2858851674641147
Table 5,8,77,2.302631578947368
Table 6,8,54,1.6148325358851676
Table 7,8,23,0.687799043062201
Table 8,8,30,0.8971291866028708
Table 9,8,46,1.375598086124402
Table 10,8,43,1.2858851674641147
Table 11,8,35,1.0466507177033493
Table 12,8,57,1.7045454545454544
Table 13,8,34,1.0167464114832536
Table 14,8,46,1.375598086124402
Table 15,8,45,1.3456937799043063
Table 16,8,36,1.076555023923445
Table 17,8,48,1.4354066985645932
Table 18,8,52,1.555023923444976
Table 19,8,51,1.5251196172248804
Table 20,8,10,0.29904306220095694
Table 21,8,24,0.7177033492822966
Table 22,8,50,1.4952153110047848
Table 23,8,53,1.5849282296650717
Table 24,8,32,0.9569377990430622
Table 25,8,87,2.6016746411483256
Table 26,8,37,1.1064593301435408
Table 27,8,46,1.375598086124402
Table 28,8,35,1.0466507177033493
Table 29,8,54,1.6148325358851676
Table 30,8,38,1.1363636363636365
Table 31,8,53,1.5849282296650717
Table 32,8,42,1.255980861244019
Table 33,8,45,1.3456937799043063
Table 34,8,84,2.511961722488038
Table 35,8,60,1.7942583732057416
Table 36,8,99,2.9605263157894735
Table 37,8,9,0.26913875598086123
Table 38,8,62,1.8540669856459329
Table 39,8,26,0.777511961722488
Table 40,8,57,1.7045454545454544
Table 41,8,26,0.777511961722488
Table 42,8,48,1.4354066985645932
Table 43,8,55,1.644736842105263
Table 44,8,44,1.3157894736842104
Table 45,8,32,0.9569377990430622
Table 46,8,81,2.422248803827751
Table 47,8,23,0.687799043062201
Table 48,8,37,1.1064593301435408
Table 49,8,35,1.0466507177033493
Table 50,8,25,0.7476076555023924
Table 51,8,49,1.465311004784689
Table 52,8,36,1.076555023923445
Table 53,8,34,1.0167464114832536
Table 54,8,104,3.110047846889952
Table 55,8,37,1.1064593301435408
Table 56,8,43,1.2858851674641147
Table 57,8,32,0.9569377990430622
Table 58,8,17,0.5083732057416268
Table 59,8,30,0.8971291866028708
Table 60,8,25,0.7476076555023924
Table 61,8,34,1.0167464114832536
Table 62,8,35,1.0466507177033493
Table 63,8,13,0.388755980861244
Table 64,8,40,1.1961722488038278
Table 65,8,115,3.438995215311005
Table 66,8,83,2.4820574162679425
Table 67,8,48,1.4354066985645932
Table 68,8,31,0.9270334928229664
Table 69,8,14,0.41866028708133973
Table 70,8,40,1.1961722488038278
Table 71,8,51,1.5251196172248804
Table 72,8,62,1.8540669856459329
Table 73,8,54,1.6148325358851676
Table 74,8,47,1.4055023923444976
Table 75,8,41,1.2260765550239234
Total,600,3344,100.0
