Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,28,0.852099817407182
Table 2,8,41,1.247717589774802
Table 3,8,31,0.9433962264150944
Table 4,8,43,1.3085818624467438
Table 5,8,77,2.3432744978697504
Table 6,8,54,1.6433353621424223
Table 7,8,23,0.699939135727328
Table 8,8,30,0.9129640900791236
Table 9,8,46,1.399878271454656
Table 10,8,43,1.3085818624467438
Table 11,8,35,1.0651247717589776
Table 12,8,57,1.7346317711503345
Table 13,8,38,1.1564211807668898
Table 14,8,46,1.399878271454656
Table 15,8,42,1.278149726110773
Table 16,8,36,1.0955569080949483
Table 17,8,48,1.4607425441265978
Table 18,8,49,1.4911746804625685
Table 19,8,51,1.55203895313451
Table 20,8,10,0.30432136335970783
Table 21,8,22,0.6695069993913573
Table 22,8,50,1.5216068167985393
Table 23,8,53,1.6129032258064515
Table 24,8,32,0.9738283627510651
Table 25,8,87,2.6475958612294583
Table 26,8,29,0.8825319537431529
Table 27,8,46,1.399878271454656
Table 28,8,35,1.0651247717589776
Table 29,8,54,1.6433353621424223
Table 30,8,38,1.1564211807668898
Table 31,8,53,1.6129032258064515
Table 32,8,42,1.278149726110773
Table 33,8,45,1.3694461351186853
Table 34,8,81,2.465003043213634
Table 35,8,60,1.8259281801582472
Table 36,8,99,3.0127814972611078
Table 37,8,9,0.2738892270237371
Table 38,8,62,1.8867924528301887
Table 39,8,26,0.7912355447352405
Table 40,8,57,1.7346317711503345
Table 41,8,26,0.7912355447352405
Table 42,8,48,1.4607425441265978
Table 43,8,52,1.582471089470481
Table 44,8,44,1.3390139987827145
Table 45,8,32,0.9738283627510651
Table 46,8,81,2.465003043213634
Table 47,8,23,0.699939135727328
Table 48,8,34,1.0346926354230066
Table 49,8,35,1.0651247717589776
Table 50,8,19,0.5782105903834449
Table 51,8,43,1.3085818624467438
Table 52,8,36,1.0955569080949483
Table 53,8,34,1.0346926354230066
Table 54,8,104,3.164942178940962
Table 55,8,38,1.1564211807668898
Table 56,8,43,1.3085818624467438
Table 57,8,32,0.9738283627510651
Table 58,8,14,0.426049908703591
Table 59,8,30,0.9129640900791236
Table 60,8,22,0.6695069993913573
Table 61,8,34,1.0346926354230066
Table 62,8,35,1.0651247717589776
Table 63,8,17,0.5173463177115033
Table 64,8,40,1.2172854534388313
Table 65,8,115,3.4996956786366407
Table 66,8,83,2.525867315885575
Table 67,8,45,1.3694461351186853
Table 68,8,25,0.7608034083992696
Table 69,8,8,0.24345709068776628
Table 70,8,40,1.2172854534388313
Table 71,8,51,1.55203895313451
Table 72,8,59,1.7954960438222762
Table 73,8,54,1.6433353621424223
Table 74,8,47,1.4303104077906268
Table 75,8,35,1.0651247717589776
Total,600,3286,100.0
