Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,39,3.4180543382997373
Table 2,8,30,2.6292725679228743
Table 3,8,37,3.2427695004382118
Table 4,8,32,2.8045574057844
Table 5,8,31,2.716914986853637
Table 6,8,32,2.8045574057844
Table 7,8,30,2.6292725679228743
Table 8,8,36,3.1551270815074495
Table 9,8,17,1.4899211218229622
Table 10,8,36,3.1551270815074495
Table 11,8,38,3.3304119193689745
Table 12,8,54,4.732690622261174
Table 13,8,30,2.6292725679228743
Table 14,8,38,3.3304119193689745
Table 15,8,29,2.5416301489921125
Table 16,8,38,3.3304119193689745
Table 17,8,33,2.892199824715162
Table 18,8,25,2.1910604732690624
Table 19,8,26,2.2787028921998247
Table 20,8,35,3.067484662576687
Table 21,8,44,3.856266432953549
Table 22,8,35,3.067484662576687
Table 23,8,26,2.2787028921998247
Table 24,8,20,1.7528483786152498
Table 25,8,18,1.5775635407537247
Table 26,8,32,2.8045574057844
Table 27,8,6,0.5258545135845749
Table 28,8,24,2.1034180543382996
Table 29,8,22,1.9281332164767746
Table 30,8,34,2.9798422436459244
Table 31,8,43,3.7686240140227865
Table 32,8,16,1.4022787028922
Table 33,8,44,3.856266432953549
Table 34,8,31,2.716914986853637
Table 35,7,24,2.1034180543382996
Table 36,7,31,2.716914986853637
Table 37,7,10,0.8764241893076249
Table 38,7,15,1.3146362839614372
Total,300,1141,100.0
