Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,58,4.312267657992565
Table 2,8,40,2.973977695167286
Table 3,8,36,2.676579925650558
Table 4,8,54,4.014869888475837
Table 5,8,42,3.1226765799256504
Table 6,8,23,1.7100371747211895
Table 7,8,39,2.899628252788104
Table 8,8,84,6.245353159851301
Table 9,8,29,2.1561338289962824
Table 10,8,5,0.37174721189591076
Table 11,8,23,1.7100371747211895
Table 12,8,38,2.825278810408922
Table 13,8,22,1.6356877323420074
Table 14,8,36,2.676579925650558
Table 15,8,42,3.1226765799256504
Table 16,8,32,2.379182156133829
Table 17,8,31,2.3048327137546467
Table 18,8,35,2.6022304832713754
Table 19,6,21,1.5613382899628252
Table 20,8,30,2.2304832713754648
Table 21,8,42,3.1226765799256504
Table 22,8,14,1.0408921933085502
Table 23,8,35,2.6022304832713754
Table 24,8,43,3.197026022304833
Table 25,8,26,1.933085501858736
Table 26,8,37,2.7509293680297398
Table 27,8,37,2.7509293680297398
Table 28,8,44,3.2713754646840147
Table 29,8,39,2.899628252788104
Table 30,8,46,3.420074349442379
Table 31,8,29,2.1561338289962824
Table 32,8,18,1.338289962825279
Table 33,8,51,3.7918215613382897
Table 34,8,78,5.799256505576208
Table 35,8,20,1.486988847583643
Table 36,8,26,1.933085501858736
Table 37,8,30,2.2304832713754648
Table 38,6,10,0.7434944237918215
Total,300,1345,100.0
