Table Number,Guest Count,Happiness Score,Contribution (%)
Table 1,8,5,0.6993006993006993
Table 2,8,19,2.6573426573426575
Table 3,8,19,2.6573426573426575
Table 4,8,31,4.335664335664335
Table 5,8,30,4.195804195804196
Table 6,8,35,4.895104895104895
Table 7,8,36,5.034965034965035
Table 8,8,23,3.2167832167832167
Table 9,8,31,4.335664335664335
Table 10,8,44,6.153846153846154
Table 11,8,21,2.937062937062937
Table 12,8,30,4.195804195804196
Table 13,8,40,5.594405594405594
Table 14,8,36,5.034965034965035
Table 15,8,31,4.335664335664335
Table 16,8,20,2.797202797202797
Table 17,8,24,3.3566433566433567
Table 18,8,32,4.475524475524476
Table 19,8,18,2.5174825174825175
Table 20,8,37,5.174825174825175
Table 21,8,33,4.615384615384616
Table 22,8,33,4.615384615384616
Table 23,8,35,4.895104895104895
Table 24,8,28,3.9160839160839163
Table 25,8,24,3.3566433566433567
Total,200,715,100.0
